Test 0,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-96.224,-98.097,-90.9,-83.396,-57.282
Low right:,-93.396,-96.703,-91.824,-83.231,-56.869
High left:,-8.042,-7.999,-7.967,-8,-7.994
High right:,-7.983,-8.01,-7.99,-8.016,-8.059
Left dBc:,88.241,90.087,82.91,75.38,49.223
Right dBc:,85.354,88.704,83.857,75.231,48.875
Test 1,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-97.353,-98.283,-91.355,-83.354,-57.327
Low right:,-95.1,-91.242,-92.042,-83.624,-56.887
High left:,-8.044,-8,-7.968,-8,-7.998
High right:,-7.99,-8.003,-7.993,-8.018,-8.077
Left dBc:,89.363,90.28,83.362,75.336,49.25
Right dBc:,87.056,83.242,84.074,75.624,48.889
Test 2,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-97.172,-98.001,-91.074,-83.217,-57.147
Low right:,-93.585,-93.814,-91.793,-83.72,-56.775
High left:,-8.043,-7.999,-7.967,-7.999,-7.992
High right:,-7.991,-8.002,-7.992,-8.017,-8.015
Left dBc:,89.181,89.999,83.082,75.2,49.132
Right dBc:,85.542,85.815,83.826,75.721,48.783
Test 3,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-96.921,-97.983,-91.062,-83.335,-57.325
Low right:,-95.618,-91.74,-91.324,-83.4,-56.887
High left:,-8.042,-7.998,-7.966,-7.998,-7.993
High right:,-7.99,-8.004,-7.992,-8.018,-8.078
Left dBc:,88.931,89.979,83.07,75.317,49.247
Right dBc:,87.576,83.742,83.358,75.402,48.894
Test 4,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-96.573,-97.716,-90.955,-83.277,-57.341
Low right:,-93.449,-95.919,-93.487,-83.279,-56.809
High left:,-8.042,-7.999,-7.967,-8,-7.995
High right:,-7.99,-8.004,-7.994,-8.019,-8.081
Left dBc:,88.583,89.712,82.961,75.258,49.26
Right dBc:,85.407,87.92,85.52,75.279,48.814
Test 5,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-96.661,-98.244,-90.98,-83.569,-57.309
Low right:,-95.812,-92.454,-93.321,-83.174,-56.893
High left:,-8.044,-8.001,-7.968,-7.991,-7.993
High right:,-7.992,-8.006,-7.995,-8.02,-8.082
Left dBc:,88.669,90.238,82.985,75.549,49.227
Right dBc:,87.768,84.453,85.353,75.183,48.9
Test 6,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-97.042,-97.9,-91.057,-83.328,-57.367
Low right:,-93.209,-96.006,-91.939,-83.626,-56.984
High left:,-8.044,-8.001,-7.968,-7.993,-8.012
High right:,-7.992,-8.006,-7.992,-8.021,-8.085
Left dBc:,89.05,89.894,83.065,75.307,49.282
Right dBc:,85.165,88.005,83.971,75.633,48.972
Test 7,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-97.079,-98.744,-91.161,-83.374,-57.339
Low right:,-94.637,-94.889,-92.62,-83.418,-56.897
High left:,-8.045,-8.002,-7.968,-7.992,-7.993
High right:,-7.993,-8.006,-7.995,-8.02,-8.084
Left dBc:,89.086,90.738,83.166,75.354,49.255
Right dBc:,86.592,86.887,84.652,75.426,48.904
Test 8,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-97.356,-97.855,-90.887,-83.401,-57.346
Low right:,-94.285,-92.699,-93.759,-83.429,-56.89
High left:,-8.045,-7.983,-7.968,-7.992,-7.994
High right:,-7.992,-8.007,-7.994,-8.021,-8.086
Left dBc:,89.364,89.848,82.893,75.38,49.26
Right dBc:,86.24,84.716,85.791,75.437,48.896
Test 9,,,,,
Frequency:,100000000,250000000,500000000,1000000000,4000000000
Low left:,-97.147,-98.008,-91.105,-83.474,-57.314
Low right:,-95.472,-95.803,-92.409,-83.262,-56.875
High left:,-8.045,-8.002,-7.967,-7.994,-7.997
High right:,-7.992,-8.007,-7.993,-8.022,-8.079
Left dBc:,89.155,90.001,83.112,75.452,49.235
Right dBc:,87.427,87.801,84.442,75.268,48.878
