'3-4', 'Mon Nov 06 11.22.04 2017', 'IMD3', 'N5181A N9030A BAL0026 BAL006', 'Temp', 'Temp', 'INB: 0-VIN OUTB 0-VOP',,,,
Vcom = 2,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1762191,-0.1762366,-0.1762422,-0.176328,-0.1763841,-0.1764795,-0.1766926,-0.1768414,-0.1770499,-0.1772247
Low left:,-94.25,-92.8,-90.333,-82.093,-76.291,-70.273,-65.42,-60.022,-56.648,-53.638
Low right:,91.692,91.802,88.976,81.486,76.828,70.462,64.671,60.786,57.18,53.309
High left:,-7.978,-7.98,-8.007,-7.984,-8.01,-8.002,-8.002,-8,-8.03,-7.991
High right:,-7.967,-7.99,-8,-7.999,-8.008,-8.007,-8.009,-7.993,-7.99,-8.075
Left dBc:,86.283,84.81,82.333,74.094,68.283,62.266,57.411,52.029,48.658,45.563
Right dBc:,-99.67,-99.782,-96.983,-89.47,-84.838,-78.464,-72.673,-68.786,-65.21,-61.3
Vcom = 2.1,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1761574,-0.1761822,-0.176201,-0.1762993,-0.1763601,-0.1764702,-0.1766843,-0.1768471,-0.177058,-0.1772403
Low left:,-94.177,-93.281,-91.179,-83.8,-78.103,-71.75,-67.356,-61.812,-58.489,-55.482
Low right:,93.812,93.154,90.5,82.857,78.444,72.338,66.559,62.663,59.067,55.053
High left:,-7.962,-7.967,-8.012,-7.971,-8.007,-8.006,-7.999,-7.978,-7.997,-7.983
High right:,-7.98,-7.994,-8.001,-8.006,-8,-7.999,-7.993,-7.991,-7.995,-7.981
Left dBc:,86.197,85.287,83.178,75.794,70.103,63.751,59.363,53.821,50.494,47.501
Right dBc:,-101.774,-101.121,-98.512,-90.828,-86.451,-80.344,-74.558,-70.641,-67.064,-63.036
Vcom = 2.2,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1761439,-0.1761741,-0.1761959,-0.1762941,-0.1763631,-0.1764708,-0.1766859,-0.1768567,-0.1770818,-0.1772647
Low left:,-94.366,-93.933,-91.973,-85.097,-79.52,-73.35,-69.01,-63.293,-60.079,-56.918
Low right:,93.136,91.95,89.961,84.924,79.793,73.491,68.222,64.102,60.663,56.462
High left:,-7.963,-7.977,-8.012,-7.988,-8.004,-7.997,-8.006,-7.975,-8.026,-7.989
High right:,-7.979,-7.995,-8.001,-7.999,-8.008,-7.991,-7.999,-7.998,-8.021,-8.076
Left dBc:,86.387,85.938,83.972,77.098,71.512,65.359,61.011,55.295,52.058,48.842
Right dBc:,-101.099,-99.927,-97.973,-92.912,-87.797,-81.488,-76.228,-72.077,-68.689,-64.451
Vcom = 2.3,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1761328,-0.1761776,-0.1762037,-0.1763067,-0.1763689,-0.176473,-0.1766906,-0.1768638,-0.1770883,-0.177272
Low left:,-95.103,-94.256,-92.609,-86.371,-80.625,-74.448,-70.247,-64.358,-61.327,-58.001
Low right:,92.495,94.125,90.766,85.872,80.978,74.533,69.396,65.162,61.815,57.555
High left:,-7.964,-7.976,-8.023,-7.988,-8.008,-8.002,-8.004,-7.974,-7.999,-7.993
High right:,-7.97,-7.994,-8,-8.001,-8.001,-8.007,-7.999,-7.997,-7.997,-8.078
Left dBc:,87.133,86.262,84.609,78.37,72.624,66.441,62.248,56.361,53.33,49.923
Right dBc:,-100.459,-102.101,-98.789,-93.86,-88.986,-82.535,-77.4,-73.136,-69.814,-65.548
Vcom = 2.4,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1761282,-0.1761662,-0.1761852,-0.1762837,-0.1763486,-0.1764631,-0.1766791,-0.1768429,-0.1770674,-0.1772435
Low left:,-95.315,-94.428,-92.744,-86.75,-81.272,-75.028,-71.053,-64.921,-61.963,-58.597
Low right:,95.359,91.973,90.554,85.355,82.036,75.128,70.125,65.765,62.568,58.212
High left:,-7.959,-7.971,-8.005,-7.986,-8.007,-7.997,-8,-7.984,-8.002,-7.997
High right:,-7.975,-7.99,-8.016,-7.999,-8.001,-8,-8.015,-7.991,-7.989,-8.076
Left dBc:,87.34,86.438,84.728,78.751,73.271,67.028,63.038,56.93,53.974,50.521
Right dBc:,-103.318,-99.944,-98.559,-93.341,-90.043,-83.125,-78.125,-73.749,-70.57,-66.209
Vcom = 2.5,,,,,,,,,,
Test 0,,,,,,,,,,
Frequency:,100000000,250000000,500000000,1000000000,1500000000,2000000000,2500000000,3000000000,3500000000,4000000000
Supply Current:,-0.1760951,-0.1761259,-0.1761524,-0.1762525,-0.1763257,-0.1764374,-0.1766544,-0.1768143,-0.1770351,-0.1772244
Low left:,-95.513,-94.367,-92.868,-86.842,-81.444,-75.058,-71.345,-65.04,-62.143,-58.676
Low right:,92.994,93.339,92.279,86.265,81.709,75.522,70.347,65.881,62.744,58.221
High left:,-7.963,-7.976,-8.006,-7.983,-8.008,-8,-8.005,-7.981,-8.029,-7.985
High right:,-7.989,-7.995,-7.997,-8.005,-8.002,-8.004,-8.019,-7.995,-7.993,-8.082
Left dBc:,87.524,86.372,84.871,78.837,73.442,67.054,63.326,57.045,54.15,50.594
Right dBc:,-100.957,-101.315,-100.285,-94.248,-89.717,-83.522,-78.352,-73.862,-70.773,-66.206
Vcom = 2.6,,,,,,,,,,
Test 0,,,,,,,,,,
